condition,runs,hidden_verified_successes,hidden_verified_rate,hidden_ci95_low,hidden_ci95_high,visible_successes,mean_elapsed_seconds,median_elapsed_seconds,mean_model_calls,parse_failure_runs,policy_failures,reflections,hypothesis_revisions
one-shot,53,37,0.6981132075471698,0.5646316733114988,0.8048169727242108,38,86.52595655496222,74.35569088100056,1.150943396226415,9,6,0,0
fixed-workflow,53,37,0.6981132075471698,0.5646316733114988,0.8048169727242108,38,105.7427961403959,91.34985351100111,1.471698113207547,15,15,0,0
tool-agent-no-reflection,53,31,0.5849056603773585,0.45094422181344374,0.7073909122018601,33,350.12356167047164,320.2320534519968,3.9622641509433962,21,20,0,0
full-reflective-agent,53,34,0.6415094339622641,0.5069114155535945,0.7569804744719122,36,249.6386820741318,238.70644813500255,3.5283018867924527,16,17,0,0
