condition_a,condition_b,mean_difference_seconds_a_minus_b,median_difference_seconds_a_minus_b,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_p_holm,significant_after_holm_0_05
one-shot,fixed-workflow,-19.216839585433675,-9.05853067200087,290.0,0.00016531936905917356,0.00016531936905917356,True
one-shot,tool-agent-no-reflection,-263.5976051155095,-238.81690085599894,0.0,2.386484752546066e-10,1.4318908515276396e-09,True
one-shot,full-reflective-agent,-163.1127255191696,-166.00575565000145,0.0,2.386484752546066e-10,1.4318908515276396e-09,True
fixed-workflow,tool-agent-no-reflection,-244.38076553007576,-235.47887094799808,0.0,2.386484752546066e-10,1.4318908515276396e-09,True
fixed-workflow,full-reflective-agent,-143.8958859337359,-148.00962489100493,0.0,2.386484752546066e-10,1.4318908515276396e-09,True
tool-agent-no-reflection,full-reflective-agent,100.48487959633987,86.25799109300715,7.0,3.560191014255506e-10,1.4318908515276396e-09,True
