condition,label,runs,visible_successes,visible_rate,hidden_verified_successes,hidden_verified_rate,hidden_ci95_low,hidden_ci95_high,visible_hidden_disagreements,mean_elapsed_seconds,median_elapsed_seconds,p95_elapsed_seconds,total_elapsed_seconds,seconds_per_hidden_verified_success,mean_model_calls,mean_steps,mean_tool_calls,parse_failure_runs,mean_decision_parse_failures,policy_failures,budget_exhaustions,invalid_patch_runs,no_progress_runs,reflection_count,hypothesis_revision_count
one-shot,One-shot,53,38,0.7169811320754716,37,0.6981132075471698,0.5646316733114988,0.8048169727242108,1,86.52595655496222,74.35569088100056,192.90746381499983,4585.875697412997,123.9425864165675,1.150943396226415,5.584905660377358,5.584905660377358,9,0.2830188679245283,6,0,0,0,0,0
fixed-workflow,Fixed workflow,53,38,0.7169811320754716,37,0.6981132075471698,0.5646316733114988,0.8048169727242108,1,105.7427961403959,91.34985351100111,223.11706945619952,5604.368195440982,151.46941068759412,1.471698113207547,5.811320754716981,5.811320754716981,15,0.5849056603773585,15,0,0,0,0,0
tool-agent-no-reflection,"Tool agent, no reflection",53,33,0.6226415094339622,31,0.5849056603773585,0.45094422181344374,0.7073909122018601,2,350.12356167047164,320.2320534519968,512.6082944673996,18556.548768534998,598.5983473720967,3.9622641509433962,5.39622641509434,5.39622641509434,21,0.8113207547169812,20,0,0,0,0,0
full-reflective-agent,Full reflective agent,53,36,0.6792452830188679,34,0.6415094339622641,0.5069114155535945,0.7569804744719122,2,249.6386820741318,238.70644813500255,380.39294188880154,13230.850149928985,389.14265146849954,3.5283018867924527,5.584905660377358,5.584905660377358,16,0.660377358490566,17,0,0,0,0,0
